,exog,endog,probabilities
31721,"[0, 0, 14, 1, 26, 30, 28, 8, 32, 33, 9, 10, 18, 31, 7, 21, 13, 19, 23]",0,0.044170856
31915,"[0, 0, 4, 0, 12, 23, 21, 15, 5]",0,0.04416468
24621,"[0, 0, 6, 0, 23, 33, 31, 14, 11, 0, 9]",0,0.0441635
19116,"[0, 0, 7, 0, 4, 14, 2, 2, 9, 4, 16, 26]",0,0.044158015
23142,"[0, 0, 7, 0, 32, 30, 27, 0, 12, 20, 7, 3]",0,0.044153698
6908,"[1, 0, 9, 0, 16, 8, 28, 7, 16, 5, 1, 24, 23, 8]",0,0.044150107
39368,"[0, 0, 13, 0, 12, 3, 18, 26, 25, 6, 26, 2, 0, 27, 16, 2, 10, 30]",0,0.04414693
13936,"[1, 0, 8, 0, 5, 29, 7, 23, 0, 24, 14, 17, 6]",0,0.044129945
22109,"[0, 0, 7, 0, 29, 8, 17, 21, 6, 12, 9, 7]",0,0.04412969
20157,"[0, 0, 8, 0, 1, 21, 24, 12, 1, 8, 3, 15, 24]",0,0.044103283
27067,"[0, 1, 9, 0, 11, 29, 27, 27, 23, 31, 3, 29, 5, 24]",1,0.04409345
38672,"[1, 0, 6, 0, 24, 25, 29, 5, 13, 13, 19]",0,0.044090986
7953,"[0, 0, 6, 0, 29, 14, 27, 17, 5, 6, 1]",0,0.044086892
36053,"[1, 1, 7, 0, 19, 18, 27, 31, 18, 5, 13, 4]",0,0.044069786
35618,"[1, 0, 8, 0, 2, 27, 15, 13, 2, 24, 16, 19, 25]",0,0.04406452
4372,"[1, 0, 11, 0, 30, 26, 5, 23, 18, 23, 23, 19, 8, 25, 0, 27]",0,0.04406363
10669,"[0, 0, 9, 0, 12, 17, 0, 8, 21, 27, 18, 5, 8, 33]",0,0.044062857
17617,"[1, 0, 15, 0, 20, 18, 29, 28, 33, 30, 27, 26, 10, 18, 33, 26, 0, 16, 14, 17]",0,0.044056542
25022,"[1, 0, 9, 0, 18, 33, 31, 17, 30, 16, 11, 7, 24, 6]",0,0.04405208
39067,"[0, 0, 11, 0, 3, 8, 32, 28, 27, 28, 18, 16, 23, 13, 26, 30]",0,0.044049744
4690,"[1, 0, 10, 0, 21, 27, 31, 30, 24, 8, 28, 24, 2, 7, 25]",0,0.044047162
41877,"[0, 0, 8, 0, 11, 27, 29, 27, 11, 4, 19, 16, 23]",0,0.04404558
32185,"[0, 0, 11, 0, 30, 24, 1, 18, 11, 22, 22, 9, 15, 25, 2, 3]",0,0.044036545
18715,"[0, 0, 13, 1, 4, 28, 33, 0, 27, 9, 21, 7, 8, 10, 10, 11, 7, 15]",0,0.0440274
3134,"[0, 1, 8, 0, 4, 30, 15, 33, 2, 20, 25, 28, 17]",0,0.044026252
35301,"[0, 0, 11, 0, 20, 17, 19, 1, 33, 13, 5, 14, 17, 2, 25, 10]",0,0.044021823
545,"[0, 0, 9, 0, 12, 0, 27, 32, 31, 20, 19, 3, 4, 11]",0,0.044019584
10298,"[0, 0, 7, 0, 23, 27, 32, 9, 26, 31, 23, 12]",0,0.044014398
8889,"[0, 0, 14, 0, 7, 29, 17, 17, 33, 31, 19, 7, 32, 29, 12, 22, 17, 6, 11]",0,0.044007793
30929,"[0, 0, 16, 0, 1, 29, 18, 26, 31, 25, 27, 7, 16, 16, 22, 1, 24, 33, 26, 15, 33]",0,0.04400309
2595,"[1, 1, 8, 0, 11, 33, 31, 9, 29, 14, 7, 15, 21]",0,0.044001427
506,"[0, 0, 4, 0, 26, 0, 12, 0, 24]",0,0.044000953
33545,"[0, 0, 6, 0, 5, 1, 11, 13, 31, 21, 5]",0,0.043989792
36279,"[1, 0, 11, 0, 19, 0, 29, 27, 32, 22, 18, 8, 21, 23, 5, 5]",0,0.043984313
23079,"[1, 0, 14, 0, 31, 27, 30, 9, 26, 27, 17, 24, 15, 15, 15, 18, 29, 10, 2]",0,0.043981925
12837,"[1, 0, 8, 0, 22, 30, 0, 9, 19, 24, 4, 24, 6]",0,0.04397771
28081,"[0, 1, 13, 0, 12, 31, 33, 27, 16, 24, 25, 27, 33, 11, 10, 18, 16, 0]",0,0.04397699
7444,"[0, 0, 12, 1, 13, 27, 9, 0, 1, 31, 8, 26, 23, 9, 15, 12, 26]",0,0.043975428
26016,"[0, 1, 7, 0, 12, 2, 16, 14, 8, 6, 9, 29]",0,0.04397536
10461,"[1, 0, 14, 0, 11, 19, 26, 13, 12, 29, 13, 32, 6, 28, 14, 29, 22, 2, 4]",0,0.04397535
18039,"[0, 0, 8, 0, 11, 16, 28, 27, 11, 32, 9, 6, 22]",0,0.043973003
20561,"[0, 1, 13, 0, 4, 28, 8, 31, 7, 26, 10, 2, 15, 31, 3, 12, 0, 19]",0,0.043969184
30229,"[1, 0, 11, 0, 22, 0, 27, 32, 8, 17, 16, 3, 4, 14, 14, 12]",0,0.043960325
35689,"[0, 0, 8, 0, 4, 9, 28, 19, 33, 15, 30, 6, 6]",0,0.043950126
32531,"[1, 0, 9, 0, 27, 27, 19, 8, 18, 7, 23, 22, 2, 24]",0,0.043948494
9937,"[1, 0, 9, 0, 6, 9, 28, 27, 19, 16, 23, 14, 21, 11]",0,0.04394124
37536,"[1, 1, 3, 0, 23, 12, 21, 32]",0,0.043937225
17588,"[0, 0, 7, 0, 23, 9, 7, 19, 32, 32, 21, 3]",0,0.043937124
28012,"[1, 1, 7, 0, 31, 0, 0, 25, 28, 16, 3, 12]",0,0.04393221
21922,"[0, 0, 13, 0, 17, 31, 33, 27, 32, 28, 1, 23, 23, 3, 8, 24, 3, 7]",0,0.043931093
30424,"[1, 0, 6, 0, 17, 23, 12, 21, 27, 10, 26]",0,0.04392567
1667,"[1, 0, 9, 0, 15, 27, 31, 33, 14, 15, 1, 11, 27, 12]",0,0.04392542
38962,"[0, 0, 7, 0, 32, 28, 0, 9, 27, 21, 26, 29]",0,0.043916177
33645,"[0, 0, 1, 0, 17, 5]",0,0.043902315
18114,"[0, 0, 7, 0, 0, 17, 9, 26, 27, 19, 6, 11]",0,0.043900415
20057,"[0, 0, 10, 0, 5, 17, 9, 10, 1, 14, 20, 14, 26, 6, 0]",0,0.043899816
4319,"[0, 0, 3, 0, 22, 17, 20, 3]",0,0.043897223
13771,"[1, 1, 4, 0, 1, 20, 9, 12, 3]",0,0.043891948
33847,"[0, 0, 11, 0, 32, 10, 7, 5, 13, 28, 15, 3, 2, 32, 24, 7]",0,0.04389114
4368,"[1, 0, 4, 0, 19, 8, 26, 5, 14]",1,0.043886304
17953,"[0, 0, 13, 0, 24, 0, 19, 26, 29, 33, 14, 30, 8, 32, 17, 3, 30, 13]",0,0.04387484
2842,"[1, 1, 11, 0, 10, 18, 9, 27, 26, 6, 6, 2, 3, 25, 1, 33]",0,0.043862242
25969,"[1, 0, 9, 0, 1, 32, 19, 29, 21, 5, 12, 22, 21, 23]",0,0.043862183
33360,"[1, 0, 9, 0, 8, 9, 30, 28, 17, 8, 33, 4, 2, 14]",0,0.04385805
14333,"[0, 0, 12, 0, 19, 0, 9, 8, 16, 30, 30, 18, 2, 2, 15, 17, 32]",0,0.043854143
2050,"[0, 0, 10, 0, 14, 29, 28, 30, 8, 8, 16, 14, 30, 21, 15]",0,0.043848086
3964,"[0, 0, 9, 0, 19, 0, 3, 0, 29, 6, 4, 30, 27, 26]",0,0.043848086
3159,"[1, 0, 5, 0, 22, 8, 30, 2, 5, 2]",0,0.043847706
15750,"[0, 1, 9, 0, 25, 10, 21, 9, 23, 27, 5, 32, 3, 4]",0,0.043845635
16774,"[0, 0, 4, 0, 22, 4, 10, 11, 12]",0,0.043839302
10356,"[1, 0, 6, 0, 5, 18, 0, 19, 2, 3, 5]",0,0.04383739
3948,"[0, 0, 2, 0, 30, 1, 20]",0,0.043835603
644,"[0, 0, 6, 0, 3, 8, 17, 24, 21, 0, 19]",0,0.043829836
22096,"[1, 1, 10, 0, 21, 0, 18, 3, 10, 4, 13, 16, 16, 10, 6]",0,0.043825418
22993,"[1, 0, 12, 0, 9, 33, 5, 0, 2, 29, 15, 26, 15, 4, 4, 8, 7]",0,0.0438244
5289,"[0, 0, 17, 0, 4, 27, 0, 21, 4, 3, 26, 7, 8, 24, 18, 29, 6, 33, 33, 8, 17, 30]",0,0.043824233
25920,"[0, 0, 10, 0, 22, 28, 27, 33, 7, 29, 7, 1, 12, 20, 22]",0,0.043820705
36045,"[0, 1, 4, 0, 18, 30, 24, 10, 13]",0,0.04381499
24719,"[0, 1, 7, 0, 13, 9, 11, 1, 3, 3, 23, 23]",0,0.043814514
22898,"[0, 1, 11, 0, 11, 33, 6, 31, 26, 3, 7, 16, 2, 22, 1, 8]",0,0.043793414
6609,"[1, 1, 10, 0, 23, 18, 17, 18, 29, 5, 14, 21, 19, 7, 15]",0,0.04379304
38314,"[0, 0, 6, 0, 11, 23, 23, 30, 9, 6, 16]",0,0.043770842
31416,"[1, 0, 12, 0, 11, 26, 7, 18, 29, 7, 9, 31, 2, 18, 18, 19, 22]",0,0.04376873
41869,"[0, 0, 8, 0, 9, 18, 16, 23, 13, 5, 7, 10, 1]",0,0.043765247
3164,"[0, 0, 10, 0, 18, 8, 26, 29, 18, 17, 16, 21, 23, 33, 24]",0,0.043764498
13191,"[0, 0, 4, 0, 4, 17, 15, 4, 2]",0,0.043755785
10638,"[0, 0, 12, 0, 29, 32, 8, 4, 13, 28, 3, 4, 9, 16, 17, 14, 11]",0,0.043753892
5414,"[0, 0, 10, 0, 11, 18, 9, 29, 23, 17, 17, 23, 4, 2, 20]",0,0.043745752
10391,"[0, 1, 13, 0, 10, 0, 29, 26, 19, 33, 3, 32, 3, 2, 9, 7, 6, 6]",0,0.043732565
7672,"[0, 0, 6, 0, 12, 0, 10, 10, 3, 2, 4]",0,0.04372898
483,"[1, 0, 3, 0, 25, 6, 23, 17]",1,0.043719977
8484,"[1, 0, 11, 0, 1, 30, 32, 29, 15, 2, 15, 16, 14, 15, 27, 0]",0,0.043708593
15812,"[0, 0, 10, 0, 4, 28, 27, 18, 20, 33, 26, 8, 3, 8, 15]",0,0.043700077
10220,"[1, 1, 11, 0, 7, 18, 16, 17, 10, 12, 11, 22, 8, 14, 28, 0]",0,0.04369872
35494,"[2, 1, 9, 0, 23, 26, 7, 31, 32, 19, 2, 19, 33, 0]",0,0.043698452
33068,"[0, 1, 9, 0, 30, 29, 33, 26, 33, 0, 9, 20, 3, 6]",0,0.04369421
31859,"[0, 0, 13, 0, 14, 32, 1, 29, 7, 27, 19, 18, 3, 26, 2, 23, 10, 0]",0,0.04369039
11169,"[0, 0, 7, 0, 11, 0, 29, 28, 17, 23, 9, 5]",0,0.04368395
22321,"[0, 0, 4, 0, 32, 16, 21, 19, 12]",0,0.04368351
40706,"[1, 0, 6, 0, 3, 9, 0, 24, 12, 14, 5]",0,0.043677427
28853,"[0, 0, 7, 0, 9, 30, 31, 16, 28, 21, 13, 11]",0,0.043675236
5933,"[1, 0, 11, 0, 6, 29, 8, 26, 16, 16, 9, 13, 22, 5, 13, 12]",0,0.043665644
42003,"[0, 0, 10, 0, 20, 29, 8, 9, 6, 26, 3, 3, 16, 12, 24]",0,0.043661397
17636,"[1, 0, 8, 0, 11, 8, 30, 33, 28, 27, 23, 23, 5]",0,0.04366019
35091,"[0, 1, 9, 0, 14, 28, 30, 9, 33, 6, 5, 6, 21, 26]",0,0.0436469
6196,"[1, 1, 8, 0, 12, 23, 23, 22, 23, 14, 19, 11, 30]",0,0.043642953
29161,"[1, 0, 7, 0, 23, 29, 17, 27, 18, 23, 3, 11]",0,0.043640178
27152,"[0, 1, 6, 0, 20, 33, 26, 24, 1, 10, 3]",0,0.04363093
35763,"[1, 0, 15, 0, 10, 25, 22, 8, 8, 9, 6, 16, 9, 8, 6, 27, 5, 1, 9, 1]",0,0.04362363
37047,"[1, 0, 9, 0, 31, 27, 8, 8, 16, 17, 9, 29, 24, 3]",0,0.043617204
27055,"[1, 1, 12, 0, 26, 28, 32, 14, 22, 25, 9, 22, 8, 33, 27, 15, 15]",0,0.043617014
30954,"[1, 0, 6, 0, 8, 28, 30, 19, 15, 4, 11]",0,0.043609746
35441,"[0, 1, 8, 0, 6, 33, 8, 10, 26, 20, 20, 33, 13]",0,0.04360321
1777,"[1, 0, 12, 0, 21, 8, 0, 27, 33, 21, 21, 29, 9, 3, 24, 5, 30]",0,0.04360206
29692,"[1, 0, 5, 0, 17, 19, 2, 5, 15, 21]",0,0.04360039
6247,"[1, 1, 10, 0, 23, 30, 28, 19, 9, 20, 10, 31, 12, 5, 1]",0,0.04358585
22099,"[1, 0, 8, 0, 16, 27, 30, 28, 11, 24, 14, 9, 6]",0,0.043582518
31580,"[0, 0, 10, 0, 9, 8, 27, 18, 20, 11, 24, 23, 14, 3, 18]",0,0.043581814
662,"[0, 0, 3, 0, 22, 9, 15, 2]",0,0.043575097
23925,"[0, 0, 2, 0, 0, 26, 21]",0,0.043563474
8623,"[1, 0, 9, 0, 22, 27, 22, 24, 3, 11, 13, 25, 13, 18]",1,0.04355767
12514,"[0, 1, 11, 0, 23, 30, 32, 16, 14, 33, 21, 4, 5, 20, 27, 15]",0,0.043554313
27229,"[0, 0, 5, 0, 28, 13, 0, 2, 24, 5]",0,0.04355138
10372,"[0, 1, 12, 0, 15, 0, 33, 31, 22, 4, 1, 25, 17, 30, 30, 16, 14]",0,0.043550987
39173,"[1, 0, 9, 0, 14, 26, 22, 23, 21, 6, 2, 26, 3, 2]",0,0.043549776
28429,"[0, 0, 9, 0, 27, 30, 9, 32, 15, 12, 24, 10, 25, 19]",0,0.043547478
38251,"[0, 0, 14, 0, 13, 29, 30, 8, 16, 17, 24, 7, 7, 7, 14, 15, 11, 18, 15]",0,0.04354583
24593,"[0, 1, 9, 0, 6, 28, 23, 11, 8, 4, 21, 13, 14, 22]",0,0.043536082
28795,"[1, 0, 7, 0, 18, 27, 26, 33, 29, 21, 11, 6]",0,0.04352923
1948,"[0, 1, 8, 0, 25, 9, 17, 25, 23, 12, 12, 26, 24]",0,0.043528322
11140,"[1, 0, 10, 0, 15, 27, 26, 30, 30, 0, 1, 3, 3, 0, 26]",0,0.043512024
15194,"[0, 0, 3, 0, 27, 0, 3, 6]",0,0.043488294
637,"[1, 1, 9, 0, 23, 8, 6, 4, 13, 11, 13, 15, 27, 26]",0,0.043475363
7105,"[0, 1, 7, 0, 12, 30, 26, 27, 28, 23, 6, 12]",0,0.043470815
20918,"[1, 1, 10, 0, 7, 32, 2, 10, 13, 13, 13, 15, 24, 24, 19]",0,0.043469805
15994,"[0, 0, 12, 0, 11, 30, 9, 26, 19, 7, 33, 16, 21, 12, 1, 27, 19]",0,0.043459203
27292,"[0, 0, 7, 0, 5, 28, 30, 13, 25, 8, 11, 16]",0,0.04345648
10602,"[1, 0, 7, 0, 21, 14, 10, 16, 12, 3, 28, 5]",0,0.043456003
8749,"[1, 0, 8, 0, 25, 27, 0, 8, 7, 11, 12, 17, 3]",0,0.043455288
22455,"[1, 0, 12, 0, 22, 31, 26, 19, 29, 18, 10, 4, 6, 27, 18, 24, 15]",1,0.04345223
35228,"[0, 0, 6, 0, 21, 14, 31, 20, 22, 13, 13]",0,0.043451387
5221,"[1, 0, 10, 0, 16, 29, 8, 33, 7, 24, 14, 21, 11, 3, 6]",0,0.043451376
22849,"[0, 0, 3, 0, 3, 28, 33, 21]",0,0.04344793
26044,"[1, 0, 8, 0, 5, 28, 32, 31, 8, 24, 18, 6, 22]",0,0.043439902
36280,"[1, 0, 7, 0, 26, 30, 25, 7, 13, 24, 6, 3]",0,0.0434358
6502,"[1, 0, 6, 0, 29, 26, 9, 17, 11, 12, 9]",0,0.043434907
28345,"[0, 0, 7, 0, 30, 17, 31, 32, 0, 5, 11, 22]",0,0.04342663
18881,"[0, 0, 10, 0, 21, 9, 25, 18, 27, 31, 8, 7, 22, 28, 13]",0,0.043426313
9368,"[0, 1, 11, 0, 21, 28, 33, 32, 16, 12, 11, 18, 30, 9, 0, 26]",0,0.04342162
23529,"[0, 0, 9, 0, 3, 9, 18, 26, 12, 22, 26, 0, 20, 6]",0,0.043418802
1200,"[1, 0, 10, 0, 3, 27, 30, 31, 26, 29, 16, 20, 7, 22, 7]",0,0.043412656
11258,"[1, 0, 14, 0, 23, 8, 7, 27, 15, 29, 0, 2, 0, 9, 33, 33, 33, 3, 1]",0,0.043410398
22097,"[0, 0, 5, 0, 20, 23, 22, 22, 4, 19]",0,0.043406647
41697,"[0, 0, 9, 0, 32, 28, 27, 25, 15, 12, 6, 13, 26, 0]",0,0.043404248
8169,"[0, 0, 9, 1, 19, 27, 24, 12, 0, 1, 3, 2, 33, 10]",0,0.043397155
29973,"[0, 1, 12, 0, 23, 30, 31, 33, 33, 10, 18, 25, 22, 27, 4, 1, 28]",1,0.043396883
30910,"[0, 0, 7, 0, 16, 9, 8, 2, 1, 30, 7, 13]",1,0.043395575
28743,"[0, 0, 3, 0, 11, 0, 8, 4]",0,0.0433907
16837,"[1, 0, 7, 0, 30, 22, 5, 2, 0, 24, 29, 14]",0,0.043389305
27705,"[1, 0, 10, 0, 33, 27, 33, 32, 16, 6, 15, 12, 16, 24, 3]",0,0.043382082
25381,"[0, 0, 11, 0, 13, 8, 8, 9, 7, 30, 18, 33, 11, 15, 23, 1]",0,0.043380708
37091,"[1, 0, 14, 0, 0, 32, 33, 7, 9, 11, 30, 19, 5, 26, 20, 13, 31, 9, 16]",0,0.043378282
40294,"[0, 1, 12, 0, 13, 26, 26, 33, 29, 27, 29, 32, 8, 20, 20, 10, 22]",0,0.043367878
37468,"[1, 1, 10, 0, 18, 29, 30, 14, 18, 7, 6, 0, 15, 23, 25]",0,0.0433673
5931,"[0, 0, 9, 0, 24, 28, 30, 17, 31, 5, 7, 8, 22, 17]",0,0.043358184
10515,"[0, 0, 9, 0, 29, 0, 33, 9, 18, 8, 23, 7, 21, 14]",0,0.043355178
34209,"[1, 0, 10, 0, 19, 27, 8, 26, 33, 30, 10, 26, 11, 5, 21]",0,0.0433532
34831,"[1, 1, 12, 0, 29, 9, 9, 32, 10, 32, 30, 17, 23, 4, 4, 13, 11]",0,0.04334965
9736,"[1, 0, 10, 0, 8, 10, 25, 17, 26, 32, 25, 17, 2, 20, 32]",0,0.043349132
15060,"[0, 0, 3, 0, 1, 19, 19, 12]",0,0.043347165
19433,"[1, 0, 10, 0, 12, 33, 22, 11, 11, 9, 27, 0, 14, 7, 6]",0,0.043346286
36412,"[0, 1, 3, 0, 28, 19, 24, 7]",0,0.04334604
29938,"[1, 1, 11, 0, 5, 17, 26, 28, 26, 27, 27, 33, 14, 13, 12, 21]",0,0.043342065
20384,"[0, 0, 4, 0, 3, 9, 2, 6, 3]",0,0.04333724
18720,"[0, 0, 7, 0, 11, 28, 33, 1, 15, 12, 11, 6]",0,0.04333658
18072,"[1, 0, 9, 0, 6, 10, 12, 14, 14, 2, 6, 24, 24, 7]",0,0.04333119
23994,"[0, 0, 13, 0, 28, 1, 33, 32, 4, 14, 7, 8, 31, 19, 9, 9, 0, 11]",0,0.043319277
22041,"[1, 0, 13, 0, 4, 25, 6, 17, 30, 3, 12, 3, 31, 8, 29, 27, 10, 24]",0,0.04331748
9965,"[1, 0, 10, 0, 19, 10, 31, 0, 23, 11, 21, 13, 14, 16, 30]",0,0.04331059
17607,"[1, 1, 15, 0, 4, 8, 28, 28, 27, 10, 33, 33, 24, 19, 16, 0, 18, 17, 13, 6]",0,0.04330906
9437,"[0, 0, 6, 0, 3, 19, 30, 10, 16, 4, 5]",0,0.043303825
26490,"[1, 1, 11, 0, 25, 29, 30, 13, 16, 32, 5, 10, 28, 9, 4, 10]",0,0.043286238
19619,"[0, 0, 10, 0, 31, 26, 25, 16, 2, 1, 7, 18, 20, 26, 12]",0,0.043280814
10253,"[1, 0, 5, 0, 29, 27, 28, 21, 13, 3]",0,0.04327445
32969,"[1, 0, 9, 0, 12, 0, 26, 17, 6, 27, 25, 28, 7, 12]",0,0.04326966
30689,"[1, 0, 5, 0, 0, 29, 32, 3, 21, 23]",0,0.04325486
2661,"[1, 0, 7, 0, 24, 21, 23, 22, 4, 19, 19, 8]",0,0.04325365
12663,"[1, 0, 11, 0, 14, 30, 8, 6, 32, 24, 3, 9, 12, 33, 27, 28]",0,0.043249313
25525,"[0, 0, 13, 0, 2, 17, 29, 32, 26, 27, 30, 9, 14, 27, 15, 19, 30, 25]",0,0.04324847
20211,"[1, 0, 9, 0, 30, 30, 17, 32, 5, 25, 26, 4, 6, 32]",0,0.043247577
1218,"[0, 1, 4, 0, 30, 15, 12, 25, 29]",1,0.043236315
18491,"[0, 0, 4, 0, 15, 20, 23, 25, 12]",0,0.043229915
25066,"[0, 0, 4, 0, 11, 7, 8, 2, 23]",0,0.043226372
29908,"[0, 0, 3, 0, 32, 15, 5, 6]",0,0.043226294
174,"[0, 0, 14, 0, 17, 1, 33, 15, 28, 25, 17, 31, 8, 28, 17, 13, 12, 9, 20]",0,0.04321993
27845,"[1, 0, 4, 0, 5, 18, 2, 15, 21]",0,0.04321552
26252,"[0, 0, 16, 0, 4, 33, 9, 7, 0, 12, 25, 17, 1, 26, 4, 29, 30, 10, 0, 8, 2]",0,0.04321236
29040,"[0, 0, 6, 0, 18, 0, 18, 17, 2, 24, 11]",0,0.043203555
4060,"[0, 0, 8, 0, 16, 29, 8, 11, 3, 13, 19, 3, 11]",1,0.043202262
30806,"[0, 0, 11, 0, 30, 10, 16, 17, 18, 6, 24, 32, 30, 0, 23, 13]",0,0.043199707
33478,"[0, 0, 3, 0, 11, 29, 2, 5]",0,0.043199513
36926,"[0, 0, 13, 1, 13, 30, 27, 3, 19, 20, 1, 31, 1, 1, 18, 2, 2, 15]",0,0.043189988
16056,"[1, 1, 10, 0, 16, 30, 18, 33, 2, 21, 11, 19, 4, 10, 12]",0,0.04318201
8668,"[0, 0, 5, 0, 1, 17, 30, 12, 8, 15]",0,0.04317565
11684,"[1, 0, 6, 0, 21, 7, 14, 15, 33, 15, 26]",0,0.04316865
7735,"[0, 0, 6, 0, 30, 30, 32, 8, 27, 21, 14]",0,0.043163612
19870,"[0, 1, 3, 0, 6, 17, 0, 12]",0,0.043144822
29055,"[1, 0, 8, 0, 3, 27, 31, 25, 27, 17, 15, 6, 19]",0,0.043139264
13010,"[0, 0, 8, 0, 24, 26, 0, 30, 17, 6, 16, 9, 3]",0,0.043138653
41842,"[0, 1, 8, 0, 23, 31, 7, 16, 11, 33, 2, 32, 24]",0,0.043138564
38173,"[0, 0, 10, 0, 16, 28, 9, 5, 29, 0, 14, 5, 14, 12, 10]",0,0.043137837
9973,"[0, 1, 6, 0, 24, 33, 1, 24, 7, 16, 3]",0,0.043128144
6777,"[0, 0, 8, 0, 29, 25, 14, 8, 23, 4, 24, 15, 28]",1,0.04312345
39686,"[0, 0, 9, 0, 30, 33, 0, 0, 21, 23, 25, 28, 30, 22]",0,0.043119438
40876,"[0, 0, 5, 0, 21, 26, 20, 5, 6, 19]",0,0.043118402
3663,"[0, 0, 10, 1, 18, 9, 0, 17, 7, 25, 27, 7, 33, 6, 3]",0,0.043117173
31428,"[0, 0, 10, 0, 23, 28, 18, 27, 18, 29, 33, 3, 21, 23, 12]",0,0.04311066
12082,"[0, 1, 8, 0, 8, 29, 19, 6, 23, 27, 33, 15, 3]",1,0.04309677
27781,"[0, 0, 8, 0, 26, 25, 33, 11, 6, 17, 23, 24, 2]",0,0.04309412
35532,"[0, 0, 8, 0, 19, 0, 8, 33, 11, 13, 13, 17, 2]",0,0.043093916
32450,"[0, 1, 7, 0, 13, 8, 33, 3, 0, 27, 6, 21]",0,0.04309094
37222,"[0, 0, 5, 0, 21, 9, 9, 19, 13, 6]",0,0.043085862
34669,"[0, 0, 9, 0, 27, 0, 27, 33, 31, 17, 4, 6, 24, 14]",0,0.043082375
3036,"[0, 0, 10, 0, 8, 29, 29, 30, 1, 30, 9, 1, 2, 25, 23]",0,0.043082055
26438,"[0, 0, 5, 0, 18, 9, 23, 14, 16, 9]",0,0.043081313
6917,"[1, 1, 12, 0, 6, 28, 31, 27, 0, 1, 16, 20, 9, 11, 27, 0, 23]",0,0.043079715
8899,"[0, 0, 2, 0, 26, 28, 12]",0,0.043079644
34779,"[0, 1, 10, 0, 19, 8, 10, 28, 31, 33, 0, 18, 4, 14, 23]",0,0.04306715
32137,"[1, 0, 4, 0, 14, 9, 12, 5, 15]",0,0.043050453
34676,"[1, 0, 8, 0, 18, 24, 15, 2, 21, 1, 5, 23, 0]",1,0.04304994
25933,"[1, 0, 7, 0, 15, 8, 24, 33, 21, 7, 5, 1]",0,0.04304949
33265,"[1, 0, 10, 1, 25, 9, 0, 33, 1, 8, 22, 15, 24, 22, 10]",0,0.043039866
16557,"[0, 1, 3, 0, 14, 28, 20, 20]",0,0.04303577
22050,"[0, 0, 6, 0, 16, 22, 28, 32, 12, 14, 23]",0,0.04303091
25575,"[1, 0, 12, 0, 28, 30, 26, 18, 8, 18, 29, 23, 5, 11, 3, 21, 1]",0,0.043030646
14477,"[0, 0, 10, 0, 4, 26, 18, 8, 11, 12, 15, 17, 7, 13, 19]",0,0.043027937
37195,"[0, 0, 7, 0, 28, 2, 6, 11, 11, 12, 8, 12]",0,0.043025747
12212,"[1, 0, 10, 1, 11, 0, 33, 29, 30, 21, 20, 3, 21, 1, 13]",0,0.043015312
13078,"[1, 0, 9, 0, 31, 27, 18, 31, 0, 0, 15, 6, 32, 12]",0,0.04300862
22649,"[0, 0, 6, 0, 3, 9, 1, 28, 33, 12, 4]",0,0.04300808
36975,"[0, 1, 6, 0, 21, 3, 14, 23, 14, 32, 17]",0,0.043005787
26945,"[0, 0, 8, 0, 12, 9, 0, 29, 21, 18, 2, 2, 11]",0,0.042991027
3840,"[1, 1, 12, 1, 4, 29, 28, 32, 26, 2, 13, 28, 12, 24, 33, 32, 17]",0,0.04298835
13672,"[1, 0, 6, 0, 32, 1, 19, 14, 12, 10, 13]",1,0.042968933
18013,"[1, 1, 11, 0, 23, 31, 33, 15, 22, 22, 31, 10, 7, 18, 15, 10]",0,0.042956445
36343,"[1, 1, 9, 0, 2, 29, 25, 31, 23, 30, 24, 5, 2, 20]",0,0.042955913
3102,"[0, 0, 6, 0, 24, 33, 13, 19, 18, 6, 21]",0,0.04295127
10517,"[0, 0, 9, 0, 33, 17, 29, 27, 27, 4, 6, 14, 15, 26]",0,0.042945735
9269,"[1, 0, 13, 0, 16, 29, 18, 30, 28, 25, 21, 16, 9, 31, 16, 11, 8, 12]",1,0.04293197
17249,"[0, 0, 9, 1, 32, 21, 23, 15, 3, 6, 32, 7, 1, 13]",0,0.042928796
24432,"[0, 0, 7, 0, 4, 18, 0, 27, 29, 12, 2, 30]",0,0.04292091
34177,"[1, 0, 8, 0, 22, 8, 27, 12, 31, 21, 15, 28, 3]",0,0.04290487
8012,"[1, 0, 13, 0, 26, 29, 17, 1, 9, 16, 33, 11, 1, 27, 19, 21, 5, 33]",0,0.04290439
28427,"[1, 0, 9, 0, 0, 29, 33, 32, 28, 8, 21, 5, 6, 12]",0,0.042888366
26316,"[0, 0, 4, 0, 30, 4, 21, 1, 24]",0,0.042886663
17198,"[1, 0, 8, 0, 26, 22, 16, 3, 28, 7, 8, 30, 2]",0,0.042879283
17388,"[0, 1, 13, 0, 25, 32, 3, 17, 19, 1, 24, 24, 11, 18, 19, 26, 25, 27]",0,0.04287885
28719,"[0, 0, 7, 0, 32, 27, 28, 30, 0, 18, 6, 24]",0,0.04287853
2777,"[0, 0, 6, 0, 19, 29, 33, 25, 15, 12, 27]",0,0.04287671
9930,"[0, 0, 3, 0, 10, 18, 17, 14]",0,0.04287162
40685,"[1, 0, 7, 0, 0, 27, 32, 12, 23, 5, 20, 10]",0,0.04286739
